Path,Edge,Graph,Cluster,Total,Jac,Precision,Recall,CC,avgConf,OriNum
"Samples\AvailableSamples\S2\1\P[0.8, 1.0]_Q[0, 1].json",0.001994133,0.000998497,0.091753721,0.094746351,1,0.351416471,0.702832941,0.383333333,0.738095238,111
"Samples\AvailableSamples\S2\2\P[0.8, 1.0]_Q[0, 1].json",0.001994371,0.000996828,0.080784559,0.083775759,0.5,0.222064169,0.444128339,0.364912281,0.81,103
"Samples\AvailableSamples\S2\3\P[0.8, 1.0]_Q[0, 1].json",0.000997066,0,0.008975267,0.009972334,1,1,1,-1,1,85
"Samples\AvailableSamples\S2\4\P[0.8, 1.0]_Q[0, 1].json",0.002991915,0.000997543,0.079786301,0.083775759,1,0.393396721,0.786793442,0,0.875,1087
"Samples\AvailableSamples\S2\5\P[0.8, 1.0]_Q[0, 1].json",0.002992153,0.000996828,0.078790188,0.082779169,1,0.286994005,0.57398801,0.715148116,0.352161673,126
noiseRate,0,SamNum,10,min_support,0.3,gamma,1,avgRecall,0.701548546,
"Samples\AvailableSamples\S2\1\P[0.8, 1.0]_Q[0, 1].json",0.000997066,0.000997066,0.087766647,0.08976078,1,0.351416471,0.702832941,0.383333333,0.738095238,111
"Samples\AvailableSamples\S2\2\P[0.8, 1.0]_Q[0, 1].json",0.00199461,0,0.081781864,0.083776474,0.5,0.222064169,0.444128339,0.364912281,0.81,103
"Samples\AvailableSamples\S2\3\P[0.8, 1.0]_Q[0, 1].json",0.000997066,0.000997066,0.009973288,0.011967421,1,1,1,-1,1,85
"Samples\AvailableSamples\S2\4\P[0.8, 1.0]_Q[0, 1].json",0.002992153,0.000997782,0.076793671,0.080783606,1,0.393396721,0.786793442,0,0.875,1087
"Samples\AvailableSamples\S2\5\P[0.8, 1.0]_Q[0, 1].json",0.002991676,0.001994133,0.078790426,0.083776236,1,0.254371284,0.508742568,0.714923585,0.302952721,126
noiseRate,0,SamNum,10,min_support,0.3,gamma,0.9,avgRecall,0.688499458,
"Samples\AvailableSamples\S2\1\P[0.8, 1.0]_Q[0, 1].json",0.001995802,0,0.090755939,0.092751741,1,0.351416471,0.702832941,0.383333333,0.738095238,111
"Samples\AvailableSamples\S2\2\P[0.8, 1.0]_Q[0, 1].json",0.001994371,0.000997543,0.076794863,0.079786777,0.5,0.222064169,0.444128339,0.364912281,0.81,103
"Samples\AvailableSamples\S2\3\P[0.8, 1.0]_Q[0, 1].json",0.000997066,0.000997066,0.009974241,0.011968374,1,1,1,-1,1,85
"Samples\AvailableSamples\S2\4\P[0.8, 1.0]_Q[0, 1].json",0.002992153,0.000997543,0.076794624,0.080784321,1,0.393396721,0.786793442,0,0.816018237,1087
"Samples\AvailableSamples\S2\5\P[0.8, 1.0]_Q[0, 1].json",0.003989697,0.001994371,0.075797319,0.081781387,1,0.286994005,0.57398801,0.715148116,0.352161673,126
noiseRate,0,SamNum,10,min_support,0.3,gamma,0.85,avgRecall,0.701548546,
"Samples\AvailableSamples\S2\1\P[0.8, 1.0]_Q[0, 1].json",0.001000166,0.000996828,0.092752457,0.094749451,1,0.351416471,0.702832941,0.383333333,0.738095238,111
"Samples\AvailableSamples\S2\2\P[0.8, 1.0]_Q[0, 1].json",0.00199461,0.000996113,0.080785513,0.083776236,0.5,0.222064169,0.444128339,0.364912281,0.81,103
"Samples\AvailableSamples\S2\3\P[0.8, 1.0]_Q[0, 1].json",0.000997543,0.000997305,0.008975983,0.010970831,1,1,1,-1,1,85
"Samples\AvailableSamples\S2\4\P[0.8, 1.0]_Q[0, 1].json",0.002991915,0,0.078789234,0.081781149,1,0.393396721,0.786793442,0,0.875,1087
"Samples\AvailableSamples\S2\5\P[0.8, 1.0]_Q[0, 1].json",0.00398922,0.001994848,0.079786539,0.085770607,1,0.286994005,0.57398801,0.715148116,0.352161673,126
noiseRate,0,SamNum,10,min_support,0.3,gamma,0.8,avgRecall,0.701548546,
"Samples\AvailableSamples\S2\1\P[0.8, 1.0]_Q[0, 1].json",0.001028299,0.000996828,0.091726065,0.093751192,1,0.351416471,0.702832941,0.383333333,0.738095238,111
"Samples\AvailableSamples\S2\2\P[0.8, 1.0]_Q[0, 1].json",0.001994371,0.000997543,0.078788996,0.08178091,0.5,0.222064169,0.444128339,0.364912281,0.81,103
"Samples\AvailableSamples\S2\3\P[0.8, 1.0]_Q[0, 1].json",0.000997305,0,0.010970831,0.011968136,1,1,1,-1,1,85
"Samples\AvailableSamples\S2\4\P[0.8, 1.0]_Q[0, 1].json",0.002992153,0.000997305,0.081781626,0.085771084,1,0.393396721,0.786793442,0,0.816018237,1087
"Samples\AvailableSamples\S2\5\P[0.8, 1.0]_Q[0, 1].json",0.003988981,0.001995087,0.047871828,0.053855896,1,0.385462683,0.385462683,-0.788658171,0.339906939,126
noiseRate,0,SamNum,10,min_support,0.3,gamma,0.75,avgRecall,0.663843481,
"Samples\AvailableSamples\S2\1\P[0.8, 1.0]_Q[0, 1].json",0.001994848,0.001994133,0.084773302,0.088762283,1,0.351416471,0.702832941,0.383333333,0.738095238,111
"Samples\AvailableSamples\S2\2\P[0.8, 1.0]_Q[0, 1].json",0.001994848,0.000996828,0.086769342,0.089761019,0.5,0.14804278,0.444128339,0.617063492,0.822222222,103
"Samples\AvailableSamples\S2\3\P[0.8, 1.0]_Q[0, 1].json",0.000997543,0.000997066,0.010971069,0.012965679,1,1,1,-1,1,85
"Samples\AvailableSamples\S2\4\P[0.8, 1.0]_Q[0, 1].json",0.001991987,0,0.091754913,0.093746901,1,0.393396721,0.786793442,0,0.816018237,1087
"Samples\AvailableSamples\S2\5\P[0.8, 1.0]_Q[0, 1].json",0.003988504,0.001995087,0.019947052,0.025930643,1,0.385462683,0.385462683,-0.788658171,0.339906939,126
noiseRate,0,SamNum,10,min_support,0.3,gamma,0.7,avgRecall,0.663843481,
"Samples\AvailableSamples\S2\1\P[0.8, 1.0]_Q[0, 1].json",0.002700567,0,0.097738981,0.100439548,1,0.5,1,0.575951008,0.764316536,111
"Samples\AvailableSamples\S2\2\P[0.8, 1.0]_Q[0, 1].json",0.001993895,0,0.077791691,0.079785585,0.5,0.222064169,0.444128339,0.364912281,0.81,103
"Samples\AvailableSamples\S2\3\P[0.8, 1.0]_Q[0, 1].json",0.000997066,0,0.010971308,0.011968374,1,1,1,-1,1,85
"Samples\AvailableSamples\S2\4\P[0.8, 1.0]_Q[0, 1].json",0.001993895,0.001994371,0.077792168,0.081780434,1,0.393396721,0.786793442,0,0.875,1087
"Samples\AvailableSamples\S2\5\P[0.8, 1.0]_Q[0, 1].json",0.00299263,0.001995325,0.019946814,0.024934769,1,0.385462683,0.385462683,-0.788658171,0.339906939,126
noiseRate,0,SamNum,10,min_support,0.3,gamma,0.6,avgRecall,0.723276893,
"Samples\AvailableSamples\S2\1\P[0.8, 1.0]_Q[0, 1].json",0.001993895,0.00199461,0.125664473,0.129652977,1,1,1,-0.575951008,0.612441385,111
"Samples\AvailableSamples\S2\2\P[0.8, 1.0]_Q[0, 1].json",0.001994133,0.001995802,0.061833858,0.065823793,0.5,0.326036496,0.326036496,-0.550661713,0.598079668,103
"Samples\AvailableSamples\S2\3\P[0.8, 1.0]_Q[0, 1].json",0.00099659,0.000997782,0.012965202,0.014959574,1,1,1,-1,1,85
"Samples\AvailableSamples\S2\4\P[0.8, 1.0]_Q[0, 1].json",0.002991438,0.000997066,0.084773064,0.088761568,1,0.393396721,0.786793442,0,0.875,1087
"Samples\AvailableSamples\S2\5\P[0.8, 1.0]_Q[0, 1].json",0.002991915,0.001993895,0.020944357,0.025930166,1,0.385462683,0.385462683,-0.788658171,0.339906939,126
noiseRate,0,SamNum,10,min_support,0.3,gamma,0.5,avgRecall,0.699658524,
"Samples\AvailableSamples\S2\1\P[0.8, 1.0]_Q[0, 1].json",0.001993895,0.000996828,0.056849003,0.059839725,1,1,1,-0.575951008,0.612441385,111
"Samples\AvailableSamples\S2\2\P[0.8, 1.0]_Q[0, 1].json",0.00199461,0.000996828,0.049867153,0.052858591,0.5,0.326036496,0.326036496,-0.550661713,0.598079668,103
"Samples\AvailableSamples\S2\3\P[0.8, 1.0]_Q[0, 1].json",0.000996828,0,0.00897646,0.009973288,1,1,1,-1,1,85
"Samples\AvailableSamples\S2\4\P[0.8, 1.0]_Q[0, 1].json",0.002991915,0,0.078789473,0.081781387,1,0.393396721,0.786793442,0,0.875,1087
"Samples\AvailableSamples\S2\5\P[0.8, 1.0]_Q[0, 1].json",0.003989458,0.000997782,0.019946098,0.024933338,1,0.385462683,0.385462683,-0.788658171,0.339906939,126
noiseRate,0,SamNum,10,min_support,0.3,gamma,0.4,avgRecall,0.699658524,
"Samples\AvailableSamples\S2\1\P[0.8, 1.0]_Q[0, 1].json",0.000997305,0.000997543,0.021941423,0.023936272,1,1,1,-0.575951008,0.612441385,111
"Samples\AvailableSamples\S2\2\P[0.8, 1.0]_Q[0, 1].json",0.00199461,0.000998259,0.02094388,0.023936749,0.5,0.326036496,0.326036496,-0.550661713,0.598079668,103
"Samples\AvailableSamples\S2\3\P[0.8, 1.0]_Q[0, 1].json",0.000997305,0.000997305,0.012965441,0.014960051,1,1,1,-1,1,85
"Samples\AvailableSamples\S2\4\P[0.8, 1.0]_Q[0, 1].json",0.002991676,0,0.081781387,0.084773064,1,0.393396721,0.786793442,0,0.875,1087
"Samples\AvailableSamples\S2\5\P[0.8, 1.0]_Q[0, 1].json",0.003989458,0.00199461,0.019946814,0.025930882,1,0.385462683,0.385462683,-0.788658171,0.339906939,126
noiseRate,0,SamNum,10,min_support,0.3,gamma,0.3,avgRecall,0.699658524,
"Samples\AvailableSamples\S2\1\P[0.8, 1.0]_Q[0, 1].json",0.001965761,0,0.025930882,0.027896643,1,1,1,-0.575951008,0.612441385,111
"Samples\AvailableSamples\S2\2\P[0.8, 1.0]_Q[0, 1].json",0.001994371,0.001993895,0.019948006,0.023936272,0.5,0.326036496,0.326036496,-0.550661713,0.598079668,103
"Samples\AvailableSamples\S2\3\P[0.8, 1.0]_Q[0, 1].json",0.000997782,0,0.010970116,0.011967897,1,1,1,-1,1,85
"Samples\AvailableSamples\S2\4\P[0.8, 1.0]_Q[0, 1].json",0.002991676,0.000997066,0.079787493,0.083776236,1,0.393396721,0.786793442,0,0.875,1087
"Samples\AvailableSamples\S2\5\P[0.8, 1.0]_Q[0, 1].json",0.003988504,0.001995087,0.018948793,0.024932384,1,0.385462683,0.385462683,-0.788658171,0.339906939,126
noiseRate,0,SamNum,10,min_support,0.3,gamma,0.2,avgRecall,0.699658524,
"Samples\AvailableSamples\S2\1\P[0.8, 1.0]_Q[0, 1].json",0.001993179,0.000997066,0.023907423,0.026897669,1,1,1,-0.575951008,0.612441385,111
"Samples\AvailableSamples\S2\2\P[0.8, 1.0]_Q[0, 1].json",0.002991676,0,0.022939682,0.025931358,0.5,0.326036496,0.326036496,-0.550661713,0.598079668,103
