Scene,Sindex,Num,Noise_Rate,gamma,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S2,1,20,0.0,0.2,1.0,0.0,1.0,-0.6424843058526596,0.47552653917675586
S2,1,20,0.0,0.3,1.0,0.0,1.0,-0.6424843058526596,0.42063897480745266
S2,1,20,0.0,0.4,1.0,0.0,1.0,-0.6424843058526596,0.34745555564838154
S2,1,20,0.0,0.5,1.0,0.0,1.0,-0.6424843058526596,0.24499876882568208
S2,1,20,0.0,0.6,1.0,0.0,1.0,-0.6424843058526596,0.09131358859163292
S2,1,20,0.0,0.65,1.0,0.5,1.0,0.6334972080739785,0.022410371740723755
S2,1,20,0.0,0.7,1.0,0.5,1.0,0.6334972080739785,0.08385845014246213
S2,1,20,0.0,0.75,0.8,0.6666666666666667,1.0,0.7251838824151036,0.022950909145601623
S2,1,20,0.0,0.8,1.0,0.5,1.0,0.6334972080739785,0.18371157754528722
S2,1,20,0.0,0.9,1.0,0.5,1.0,0.6334972080739785,0.26137512108081773
S2,1,20,0.0,1.0,1.0,0.5,1.0,0.6334972080739785,0.32350595590924214
S2,1,20,0.2,0.2,1.0,0.0,1.0,-0.5372050032458058,0.30528397828654324
S2,1,20,0.2,0.3,1.0,0.0,1.0,-0.5372050032458058,0.24542895309826918
S2,1,20,0.2,0.4,1.0,0.0,1.0,-0.5372050032458058,0.165622252847237
S2,1,20,0.2,0.5,1.0,0.0,1.0,-0.5372050032458058,0.05389287249579203
S2,1,20,0.2,0.6,0.6842105263157895,0.6744959662786709,0.976512101163987,0.4688126059119402,0.08975840843813637
S2,1,20,0.2,0.65,0.6842105263157895,0.6744959662786709,0.976512101163987,0.4688126059119402,0.11443237469891715
S2,1,20,0.2,0.7,0.6842105263157895,0.6744959662786709,0.976512101163987,0.4688126059119402,0.13558148863672922
S2,1,20,0.2,0.75,0.6842105263157895,0.6744959662786709,0.976512101163987,0.4688126059119402,0.15391072071616638
S2,1,20,0.2,0.8,0.6842105263157895,0.6744959662786709,0.976512101163987,0.4688126059119402,0.1699487987856739
S2,1,20,0.2,0.9,0.6842105263157895,0.6744959662786709,0.976512101163987,0.4688126059119402,0.1966789289015197
S2,1,20,0.2,1.0,0.6842105263157895,0.6744959662786709,0.976512101163987,0.4688126059119402,0.21806303299419638
S2,1,20,0.4,0.2,0.6,0.023487898836012988,0.976512101163987,-0.6502006883918614,0.1839325901088071
S2,1,20,0.4,0.3,0.6,0.023487898836012988,0.976512101163987,-0.6502006883918614,0.1635164591758015
S2,1,20,0.4,0.4,0.6,0.023487898836012988,0.976512101163987,-0.6502006883918614,0.13629495126512725
